url_length,host_length,path_length,num_dots,num_hyphens,num_digits,num_slashes,has_at_symbol,has_raw_ip,digit_ratio,label
23,12,11,1,1,0,2,0,0,0.0,0
26,6,20,1,1,0,2,0,0,0.0,0
26,11,15,1,1,0,3,0,0,0.0,0
29,17,12,2,0,3,2,0,0,0.103,1
15,11,4,1,0,0,2,0,0,0.0,0
22,20,2,3,0,16,1,0,0,0.727,1
73,7,66,2,5,6,5,0,0,0.082,0
35,9,26,1,1,0,2,0,0,0.0,0
28,21,7,4,0,17,1,0,0,0.607,1
101,25,76,4,2,5,5,0,0,0.05,1
44,11,33,1,5,0,3,0,0,0.0,0
20,17,3,1,0,0,1,0,0,0.0,0
20,13,7,1,0,0,1,0,0,0.0,0
21,11,10,1,0,0,1,0,0,0.0,0
46,36,10,6,0,11,1,0,0,0.239,1
39,20,19,1,2,0,3,0,0,0.0,0
41,10,31,1,2,0,2,0,0,0.0,0
36,9,27,2,0,4,3,0,0,0.111,0
31,12,19,3,0,9,2,0,1,0.29,1
27,12,15,4,0,14,2,0,1,0.519,1
70,26,44,2,4,23,1,0,0,0.329,1
118,25,93,4,2,2,5,0,0,0.017,1
